id,title,section,subsection,availability,status_hint,description
1,"Plurality Voting","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","","Standard single-choice voting. Users select one option from a list of candidates or choices in an election."
2,"Ranked Choice Voting","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","","Users rank multiple options in order of preference. The platform processes ranked ballots to determine the winner using elimination rounds."
3,"Approval Voting","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","","Users approve one or more options simultaneously. All approved options receive a vote, enabling nuanced preference expression."
4,"Plus/Minus Voting","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","","Sentiment-based voting where users assign positive (+) or negative (−) scores to each option. A statistical significance panel displays real-time confidence levels."
5,"MCQ Pre-Voting Quiz","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","","Users answer a multiple-choice quiz before their vote is cast. Correct answers may influence VP rewards or unlock voting access. Designed to promote informed participation."
6,"MCQ Image Voting","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","","Visual voting interface where each election option is represented by an image. Users vote by selecting their preferred image option."
7,"Prediction Pool Voting","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","","Users wager VP on the predicted outcome of an election. The VP pool is distributed among correct predictors after the election closes."
8,"Collaborative Voting Room","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","","Real-time group voting environment where multiple users vote simultaneously. Includes live discussion threads, participant emoji reactions, and real-time result streaming. Used for group decision-making sessions."
9,"Location-Based Voting","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","","Geo-targeted elections appear for users based on their detected geographic location. Enables regional, city-level, or neighbourhood-specific elections."
10,"External Voter Gate","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","","Allows non-registered users to participate in specific elections via a shared link. Captures partial participation data and prompts registration post-vote."
11,"Cryptographic Vote Receipts","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","⚠️ Partial (cryptographic verification exists, but SHA-256 + RSA receipt spec is not fully confirmed end-to-end)","Every vote generates a unique SHA-256 + RSA cryptographic receipt. Users can use this receipt to verify their vote was counted correctly without revealing how they voted."
12,"Vote Anonymity via Mixnet","SECTION 1: GENERAL USERS (VOTERS)","","Web App and Mobile App","❌ Not implemented/verified (mixnets/ZK-style privacy routing not wired in current Web implementation)","All votes pass through an onion-routing mixnet system that removes the link between voter identity and vote content. Mixing cycles run on a configurable schedule."
