id,title,availability,web_evidence,mobile_evidence,db_evidence,status_hint,verdict,policy_compliance
1,"Plurality Voting","Web App and Mobile App","src/services/enhancedRecommendationService.js","lib/services/tie_resolution_service.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
2,"Ranked Choice Voting","Web App and Mobile App","src/services/adSlotManagerService.js","lib/services/claude_decision_reasoning_service.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
3,"Approval Voting","Web App and Mobile App","src/services/enhancedRecommendationService.js","lib/services/ga4_analytics_service.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
4,"Plus/Minus Voting","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260124202000_age_verification_plus_minus_voting.sql","",AMBER,PENDING
5,"MCQ Pre-Voting Quiz","Web App and Mobile App","src/pages/voter-education-hub/index.jsx","lib/presentation/vote_casting/vote_casting.dart","supabase/migrations/20260123180100_comprehensive_voting_features.sql","",AMBER,PENDING
6,"MCQ Image Voting","Web App and Mobile App","src/Routes.jsx","lib/widgets/enhanced_empty_state_widget.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
7,"Prediction Pool Voting","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
8,"Collaborative Voting Room","Web App and Mobile App","src/Routes.jsx","lib/services/collaborative_voting_service.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
9,"Location-Based Voting","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_app_bar.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
10,"External Voter Gate","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123195000_multi_auth_localization_features.sql","",AMBER,PENDING
11,"Cryptographic Vote Receipts","Web App and Mobile App","src/Routes.jsx","lib/services/blockchain_receipt_service.dart","supabase/migrations/20260122053000_direct_messaging.sql","⚠️ Partial (cryptographic verification exists, but SHA-256 + RSA receipt spec is not fully confirmed end-to-end)",AMBER,PENDING
12,"Vote Anonymity via Mixnet","Web App and Mobile App","src/Routes.jsx","lib/services/anonymous_voting_service.dart","supabase/migrations/20260123202800_cryptographic_audit_trails.sql","❌ Not implemented/verified (mixnets/ZK-style privacy routing not wired in current Web implementation)",RED,PENDING
13,"Zero-Knowledge Proofs (ZK-SNARKs)","Web App and Mobile App","src/services/blockchainService.js","lib/services/sla_monitoring_service.dart","supabase/migrations/20260123202800_cryptographic_audit_trails.sql","❌ Not implemented/verified (ZK proofs not wired in current Web implementation)",RED,PENDING
14,"Homomorphic Encryption","Web App and Mobile App","src/services/cryptographicService.js","lib/presentation/voter_education_hub/voter_education_hub.dart","","❌ Not implemented/verified (homomorphic tallying not wired in current Web implementation)",RED,PENDING
15,"Threshold Cryptography","Web App and Mobile App","src/services/cryptographicService.js","","supabase/migrations/20260123202800_cryptographic_audit_trails.sql","❌ Not implemented/verified (threshold decryption not wired in current Web implementation)",RED,PENDING
